route	surface	name
/account-locked	auth	AccountLocked
/accounting-integration	app	Accounting-Integration
/accounts-payable	app	Accounts-Payable
/accounts-receivable	app	Accounts-Receivable
/advanced-settings	app	AdvancedSettings
/agent-dashboard	app	AgentDashboard
/agent-registry	app	AgentRegistry
/ai-automation	app	AI-Automation
/ai-chatbot	app	AI-Chatbot
/ai-chatbot-assistant	app	AI-Chatbot-Assistant
/ai-scheduling	app	AI-Scheduling
/ai-service-advisor	app	AI-Service-Advisor
/aianalytics	app	AIAnalytics
/aiassistant	app	AIAssistant
/appointment-calendar	app	AppointmentCalendar
/appointment-reminders	app	Appointment-Reminders
/appointments	app	Appointments
/approval-inbox	app	ApprovalInbox
/ar-overlay	app	AR-Overlay
/ar-repair-guide	app	AR-Repair-Guide
/assets-management	app	Assets-Management
/audit-log	app	AuditLog
/automated-reordering	app	Automated-Reordering
/automation-rules	app	AutomationRules
/backup	app	Backup
/balance-sheet	app	Balance-Sheet
/bank-account-management	app	Bank-Account-Management
/bank-reconciliation	app	BankReconciliation
/barcode-scanner	app	Barcode-Scanner
/bidashboard	app	BIDashboard
/biometric-setup	auth	BiometricSetup
/blockchain-service-history	app	Blockchain-Service-History
/branches	app	Branches
/budget-management	app	Budget-Management
/business-heatmaps	app	Business-Heatmaps
/business-intelligence	app	Business-Intelligence
/business-intelligence-dashboard	app	Business-Intelligence-Dashboard
/calendar	app	Calendar
/call-center	call-center	CallCenter
/call-center/logs	call-center	CallCenter.Logs
/campaigns	app	Campaigns
/capital-management	app	Capital-Management
/cash-flow-statement	app	Cash-Flow-Statement
/chart-of-accounts	app	ChartOfAccounts
/chat	app	Chat
/client-portal-appointments	app	Client-Portal-Appointments
/client-portal-dashboard	app	Client-Portal-Dashboard
/client-portal-invoices	app	Client-Portal-Invoices
/client-portal-live-tracking	app	Client-Portal-Live-Tracking
/client-portal-profile	app	Client-Portal-Profile
/client-portal-reminders	app	Client-Portal-Reminders
/client-portal-review-chat	app	Client-Portal-Review-Chat
/client-portal-service-history	app	Client-Portal-Service-History
/client-portal-vehicles	app	Client-Portal-Vehicles
/compliance-management	app	Compliance-Management
/computer-vision-qc	app	Computer-Vision-QC
/contract-management	app	Contract-Management
/conversation-history	app	ConversationHistory
/cookie-policy	app	CookiePolicy
/cost-centers	app	Cost-Centers
/create-pin	auth	CreatePIN
/crmcalendar	app	CRMCalendar
/crmtasks	app	CRMTasks
/custom-reports	app	CustomReports
/customer-app-booking	app	Customer-App-Booking
/customer-app-payments	app	Customer-App-Payments
/customer-app-vehicles	app	Customer-App-Vehicles
/customer-app/appointments	customer-app	CustomerApp.Appointments
/customer-app/garage	customer-app	CustomerApp.Garage
/customer-app/home	customer-app	CustomerApp.Home
/customer-app/insurance	customer-app	CustomerApp.Insurance
/customer-app/loans	customer-app	CustomerApp.Loans
/customer-app/marketplace	customer-app	CustomerApp.Marketplace
/customer-app/notifications	customer-app	CustomerApp.Notifications
/customer-app/orders	customer-app	CustomerApp.Orders
/customer-app/profile	customer-app	CustomerApp.Profile
/customer-app/service-tracking	customer-app	CustomerApp.ServiceTracking
/customer-app/wallet	customer-app	CustomerApp.Wallet
/customer-approval	app	CustomerApproval
/customer-detail	app	CustomerDetail
/customer-feedback	app	CustomerFeedback
/customer-loyalty	app	Customer-Loyalty
/customer-ltv-analysis	app	Customer-LTV-Analysis
/customer-portal	portal	CustomerPortal
/customer-portal/booking	portal	CustomerPortal.Booking
/customer-reviews-ratings	app	Customer-Reviews-Ratings
/customer-segments	app	CustomerSegments
/customers	app	Customers
/customers-list	app	Customers-List
/dashboard	app	Dashboard
/dashboard-home	app	Dashboard-Home
/dashboard-main	app	Dashboard-Main
/dashboard-widgets	app	Dashboard-Widgets
/data-backup	app	Data-Backup
/data-import-export	app	Data-Import-Export
/departments	app	Departments
/diagnostic-report	app	DiagnosticReport
/diagnostics-obd-hub	app	Diagnostics-OBD-Hub
/digital-signage	app	Digital-Signage
/digital-twin-viewer	app	Digital-Twin-Viewer
